,team,pay_type,question,points,answer,answer_mod,answer_truth,correct,score
198,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
205,"Breaker of Fasts, Mother of Brunches",Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
176,Bri-Anne,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
199,Bri-Enne Of Green Gables,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
212,Bronn Swanson,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
218,Bronn: The Decision,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
192,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
187,Dany Snow,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
197,Davis the Bastard of Voltron,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
206,Enjol-Raki ,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
181,Flea Bottom Feeders,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
191,House Magnus,Free,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
207,Just Here for CleganeBowl,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
189,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
186,Lady Elizabeth of House Wray,Free,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
216,Lady Kristi of the House of Brooks,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
208,Lady Stoneheart,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
200,Lil' Jon Snow White,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
184,Little Fingers’ Little Finger,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
219,Lord Ben-ish,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
213,Matton Of The Hounds,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
217,Mountain Mellon Crushers,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
177,No Ygrittes,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
210,"S'now way, Jose!",Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
182,Safari Ary,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
183,Sand Snake Realness,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
214,Sept of Baylor was an Inside job,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
201,"Ser Dunton, Knight of the Laughing Tree",Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
215,Ser Hand Rale of House Bannister,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
185,Stark Raving Mad,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
193,Stop Dragon My Horse Heart Around,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
179,Sword Swallowers through and through,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
196,That’s what I do: I drink and I know things.,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
203,The Ed Sheeran Fan Club,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
202,The House of Lesbian Poets,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
211,Tormund's Member Rewards Club,Paying,05. Tyrion Lannister,3.0,Dies,Dies,Lives,False,0.0
190,Xander's Dragons,Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
194,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,05. Tyrion Lannister,3.0,Lives,Lives,Lives,True,3.0
222,A Girl Has No Team Name,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
239,A Team Has No Name,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
224,A Wizard of Cersei,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
248,Aaron on the Throne,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
232,All Bronn and no brains,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
253,Arya Dead Yet?,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
242,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
249,"Breaker of Fasts, Mother of Brunches",Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
220,Bri-Anne,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
243,Bri-Enne Of Green Gables,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
256,Bronn Swanson,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
262,Bronn: The Decision,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
236,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
231,Dany Snow,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
241,Davis the Bastard of Voltron,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
250,Enjol-Raki ,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
225,Flea Bottom Feeders,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
235,House Magnus,Free,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
251,Just Here for CleganeBowl,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
233,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
230,Lady Elizabeth of House Wray,Free,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
260,Lady Kristi of the House of Brooks,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
252,Lady Stoneheart,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
244,Lil' Jon Snow White,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
228,Little Fingers’ Little Finger,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
263,Lord Ben-ish,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
257,Matton Of The Hounds,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
261,Mountain Mellon Crushers,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
221,No Ygrittes,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
254,"S'now way, Jose!",Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
226,Safari Ary,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
227,Sand Snake Realness,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
258,Sept of Baylor was an Inside job,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
245,"Ser Dunton, Knight of the Laughing Tree",Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
259,Ser Hand Rale of House Bannister,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
229,Stark Raving Mad,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
237,Stop Dragon My Horse Heart Around,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
223,Sword Swallowers through and through,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
240,That’s what I do: I drink and I know things.,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
247,The Ed Sheeran Fan Club,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
246,The House of Lesbian Poets,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
255,Tormund's Member Rewards Club,Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
234,Xander's Dragons,Paying,06. Bran Stark,2.0,Lives,Lives,Lives,True,2.0
